source_number,source_path,candidate_term,normalized_candidate,candidate_is_manifest_term,confidence,caption,has_visible_text,has_watermark_or_logo,accept_for_flashcard,selection_score
1000212226,/home/ubuntu/upload/1000212226.jpg,city,city,True,high,"A vibrant, futuristic cartoon city at night with glowing neon signs and flying vehicles.",True,False,True,330
1000212227,/home/ubuntu/upload/1000212227.jpg,catch,catch,True,high,A cartoon boy in a baseball uniform dives to catch a baseball during a game.,True,False,True,330
1000212228,/home/ubuntu/upload/1000212228.jpg,art,art,True,high,"A vibrant art studio scene featuring a wooden palette covered in colorful paint, multiple brushes, and tubes of paint scattered on a table.",True,False,True,330
1000212229,/home/ubuntu/upload/1000212229.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 68),False,False,False,0
1000212230,/home/ubuntu/upload/1000212230.jpg,cave,cave,True,high,A cartoon girl stands in front of a glowing crystal cave at night.,True,False,True,330
1000212231,/home/ubuntu/upload/1000212231.jpg,as well,as well,True,high,"A boy and a girl are each holding a red apple in a park-like setting, illustrating the phrase 'as well'.",True,False,True,330
1000212232,/home/ubuntu/upload/1000212232.jpg,carpets,carpets,True,high,A stack of colorful carpets with various patterns and tassels on a wooden floor.,False,False,True,335
1000212233,/home/ubuntu/upload/1000212233.jpg,apologize,apologize,True,high,"A sad cartoon blue bear with clasped hands and teary eyes, appearing to apologize for the mess in the room.",False,False,True,335
1000212234,/home/ubuntu/upload/1000212234.jpg,cap,cap,True,high,A blue baseball cap with a logo that says 'BASEBALL CLUB'.,True,False,True,330
1000212235,/home/ubuntu/upload/1000212235.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 76),False,False,False,0
1000212236,/home/ubuntu/upload/1000212236.jpg,celebrate,celebrate,True,high,A group of diverse children jumping for joy and cheering in a sunny field with a castle in the background.,False,False,True,335
1000212237,/home/ubuntu/upload/1000212237.jpg,fishing net,fishing net,True,high,A cartoon orange fish with a surprised expression is caught in a fishing net being lifted out of the blue sea.,False,False,True,335
1000212238,/home/ubuntu/upload/1000212238.jpg,butterflies,butterflies,True,high,A vibrant meadow filled with many colorful butterflies flying over a variety of blooming flowers under a bright sunny sky.,False,False,True,335
1000212239,/home/ubuntu/upload/1000212239.jpg,,,False,low,classification error (JSONDecodeError): Expecting value: line 1 column 174 (char 173),False,False,False,0
1000212240,/home/ubuntu/upload/1000212240.jpg,carpenter,carpenter,True,high,"A man in a workshop using a hand saw to cut a piece of wood, surrounded by various woodworking tools.",True,False,True,330
1000212241,/home/ubuntu/upload/1000212241.jpg,call out,call out,True,high,"A cartoon boy stands on a hill and shouts loudly, cupping his hands to his mouth to call out to others.",True,False,True,330
1000212242,/home/ubuntu/upload/1000212242.jpg,closet,closet,True,high,"A neatly organized walk-in closet filled with clothes, shoes, and storage boxes.",True,False,True,330
1000212243,/home/ubuntu/upload/1000212243.jpg,breakfast,breakfast,True,high,"A cheerful cartoon illustration of a breakfast meal featuring a bowl of cereal, a glass of orange juice, and a piece of toast on a table by a sunny window.",True,False,True,330
1000212244,/home/ubuntu/upload/1000212244.jpg,carelessly,carelessly,True,high,A boy walks through a messy room and carelessly steps on a toy fire truck while singing loudly.,True,False,True,330
1000212245,/home/ubuntu/upload/1000212245.jpg,closet,closet,True,high,"A well-organized walk-in closet filled with colorful clothes, shoes, and accessories.",False,False,True,335
1000212246,/home/ubuntu/upload/1000212246.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 68),False,False,False,0
1000212247,/home/ubuntu/upload/1000212247.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 68),False,False,False,0
1000212248,/home/ubuntu/upload/1000212248.jpg,claws,claws,True,high,A close-up illustration of sharp animal claws scratching and ripping into a wooden surface.,True,False,True,330
1000212249,/home/ubuntu/upload/1000212249.jpg,carpenter,carpenter,True,high,"A badger working as a carpenter, carving a wooden owl while a mouse watches closely.",False,False,True,335
1000212250,/home/ubuntu/upload/1000212250.jpg,helping hands,helping hands,True,high,"Two hands cupped together holding a glowing pink heart, symbolizing kindness and help.",False,False,True,335
1000212251,/home/ubuntu/upload/1000212251.jpg,reached,reached,True,high,A mountain climber stands triumphantly on a snowy peak holding a flag that says 'SUMMIT REACHED!'.,True,False,True,330
1000212252,/home/ubuntu/upload/1000212252.jpg,discuss,discuss,True,high,"A fox and a bear student sit at a desk in a classroom, talking to each other in front of a blackboard that says 'DISCUSS!'.",True,False,True,330
1000212253,/home/ubuntu/upload/1000212253.jpg,colorful,colorful,True,high,"A vibrant, multi-colored cartoon character holding a paintbrush.",False,False,True,335
1000212254,/home/ubuntu/upload/1000212254.jpg,cage,cage,True,high,A blue and yellow birdcage with an open door sitting on a wooden shelf.,False,False,True,335
1000212255,/home/ubuntu/upload/1000212255.jpg,apologize,apologize,True,high,A sad little blue monster holding a sign that says 'SORRY!' to apologize.,True,False,True,330
1000212256,/home/ubuntu/upload/1000212256.jpg,,,False,low,classification error (JSONDecodeError): Expecting property name enclosed in double quotes: line 1 column 172 (char 171),False,False,False,0
1000212257,/home/ubuntu/upload/1000212257.jpg,do a great job,do a great job,True,high,A teacher and students applaud a boy holding a star that says 'GREAT JOB! LEO!' in a classroom setting.,True,False,True,330
1000212258,/home/ubuntu/upload/1000212258.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 70),False,False,False,0
1000212259,/home/ubuntu/upload/1000212259.jpg,,,False,low,classification error (JSONDecodeError): Expecting property name enclosed in double quotes: line 4 column 90 (char 149),False,False,False,0
1000212260,/home/ubuntu/upload/1000212260.jpg,pottery,pottery,True,high,A pair of hands shaping a clay pot on a spinning pottery wheel in an art studio.,True,False,True,330
1000212261,/home/ubuntu/upload/1000212261.jpg,city,city,True,high,"A cartoon illustration of a busy city street with tall buildings, cars, and people.",True,False,True,330
1000212263,/home/ubuntu/upload/1000212263.jpg,bin,bin,True,high,A cheerful green recycling bin with a yellow lid and a recycling symbol stands in a sunny park.,True,False,True,330
1000212264,/home/ubuntu/upload/1000212264.jpg,apologize,apologize,True,high,A sad cartoon dog holding a wooden sign that says 'SORRY!' to express an apology.,True,False,True,330
1000212265,/home/ubuntu/upload/1000212265.jpg,hero,hero,True,high,A superhero in a blue and red costume with a cape stands on a rocky cliff overlooking a scenic valley at sunset.,False,False,True,335
1000212266,/home/ubuntu/upload/1000212266.jpg,breakfast,breakfast,True,high,"A cheerful morning scene showing a breakfast table with a bowl of cereal, a glass of orange juice, milk, and toast, set against a window with a smiling sun.",True,False,True,330
1000212267,/home/ubuntu/upload/1000212267.jpg,board,board,True,high,A colorful classroom whiteboard filled with various drawings and a daily schedule.,True,False,True,330
1000212268,/home/ubuntu/upload/1000212268.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 68),False,False,False,0
1000212269,/home/ubuntu/upload/1000212269.jpg,bear,bear,True,high,A friendly cartoon bear wearing a scarf waves in a lush green forest.,False,False,True,335
1000212270,/home/ubuntu/upload/1000212270.jpg,What a beautiful day!,what a beautiful day,True,high,"A bright and sunny cartoon landscape with green hills, a smiling sun, and a small village, perfectly illustrating a beautiful day.",False,False,True,335
1000212271,/home/ubuntu/upload/1000212271.jpg,home,home,True,high,A colorful cartoon house with a beautiful garden and a white picket fence under a sunny sky.,True,False,True,330
1000212272,/home/ubuntu/upload/1000212272.jpg,challenges,challenges,True,high,"A girl stands at the start of an obstacle course called 'The Adventure Trail', ready to face the physical challenges ahead.",True,False,True,330
1000212273,/home/ubuntu/upload/1000212273.jpg,celebration,celebration,True,high,"A group of happy cartoon animals and a girl wearing party hats, cheering amidst confetti and balloons with banners saying ""Congratulations"".",True,False,True,330
1000212274,/home/ubuntu/upload/1000212274.jpg,brush teeth,brush teeth,True,high,A blue cartoon monster in pajamas is brushing its teeth in a bathroom with a sign that says 'BRUSH YOUR TEETH!'.,True,False,True,330
1000212275,/home/ubuntu/upload/1000212275.jpg,between classes,between classes,True,high,A busy school hallway filled with students talking and walking between their lockers and classrooms.,True,False,True,330
1000212276,/home/ubuntu/upload/1000212276.jpg,drink plenty of water,drink plenty of water,True,high,"A boy sits surrounded by many water bottles, drinking from a glass, with a sign above him that says 'DRINK PLENTY OF WATER!'.",True,False,True,330
1000212277,/home/ubuntu/upload/1000212277.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 1 column 63 (char 62),False,False,False,0
1000212278,/home/ubuntu/upload/1000212278.jpg,busy market,busy market,True,high,"A vibrant and crowded outdoor market scene with numerous stalls selling various goods like fresh produce, spices, and textiles, bustling with people.",True,False,True,330
1000212279,/home/ubuntu/upload/1000212279.jpg,bottles,bottles,True,high,A collection of colorful glass bottles with labels on a wooden table.,True,False,True,330
1000212280,/home/ubuntu/upload/1000212280.jpg,breakfast,breakfast,True,high,A young girl eating a bowl of cereal and drinking orange juice for breakfast in a sunny kitchen.,True,False,True,330
1000212281,/home/ubuntu/upload/1000212281.jpg,Cairo Tower,cairo tower,True,high,"A cartoon illustration of the Cairo Tower standing tall in the middle of Cairo, next to the Nile River.",False,False,True,335
1000212282,/home/ubuntu/upload/1000212282.jpg,brown bread,brown bread,True,high,A loaf of sliced brown bread on a wooden cutting board with butter in the background.,False,False,True,335
1000212283,/home/ubuntu/upload/1000212283.jpg,bullying,bullying,True,high,"A split cartoon illustration depicting a child being bullied on the left and a group of children standing up against the bully on the right, with text explaining bullying and its solution.",True,False,True,330
1000212284,/home/ubuntu/upload/1000212284.jpg,butterflies,butterflies,True,high,A vibrant illustration of many colorful butterflies flying over a meadow filled with flowers under a sunny sky.,False,False,True,335
1000212285,/home/ubuntu/upload/1000212285.jpg,butterflies,butterflies,True,high,A vibrant cartoon illustration of many colorful butterflies flying over a sunny meadow filled with flowers.,False,False,True,335
1000212286,/home/ubuntu/upload/1000212286.jpg,break time,break time,True,high,Children are playing on a playground and field outside a school building with a sign that says 'RECESS TIME'.,True,False,True,330
1000212287,/home/ubuntu/upload/1000212287.jpg,celebration,celebration,True,high,"A festive cartoon scene featuring a large multi-tiered cake, fireworks, and characters cheering at a grand celebration.",True,False,True,330
1000212289,/home/ubuntu/upload/1000212289.jpg,winner,winner,True,high,A gold medal featuring a smiling star character and the word 'WINNER!' against a celebratory background with balloons and confetti.,True,False,True,330
1000212290,/home/ubuntu/upload/1000212290.jpg,fishing net,fishing net,True,high,"A boy at the beach using a fishing net to catch sea animals like fish, crabs, and starfish.",False,False,True,335
1000212291,/home/ubuntu/upload/1000212291.jpg,near,near,True,high,Two children standing close to each other in a park with the word NEAR written above them.,True,False,True,330
1000212292,/home/ubuntu/upload/1000212292.jpg,endangered,endangered,True,high,"A sad panda sitting among tree stumps, holding a sign that says 'Endangered Species', with a bulldozer in the background.",True,False,True,330
1000212293,/home/ubuntu/upload/1000212293.jpg,colorful,colorful,True,high,"A cartoon illustration of a smiling boy's face against a vibrant, colorful background featuring rainbows, stars, and flowers.",False,False,True,335
1000212294,/home/ubuntu/upload/1000212294.jpg,puppet,puppet,True,high,A young boy laughing while playing with a colorful furry hand puppet in a playroom.,False,False,True,335
1000212295,/home/ubuntu/upload/1000212295.jpg,quiet,quiet,True,high,"A young girl holds a book and puts her finger to her lips in a gesture for silence in a room with a banner that says 'Quiet Time, Shhh!'.",True,False,True,330
1000212296,/home/ubuntu/upload/1000212296.jpg,reduced,reduced,True,high,"A boy holds a smaller version of a toy train next to a larger one, illustrating the concept of being reduced in size.",True,False,True,330
1000212297,/home/ubuntu/upload/1000212297.jpg,endangered,endangered,True,high,A sad tiger cub sits next to a sign that says 'PROTECTED AREA - ENDANGERED SPECIES' with a background of cut-down trees and factory pollution.,True,False,True,330
1000212298,/home/ubuntu/upload/1000212298.jpg,lunch,lunch,True,high,"Three children are sitting at a picnic table in a park, enjoying a healthy lunch together.",False,False,True,335
1000212299,/home/ubuntu/upload/1000212299.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 66),False,False,False,0
1000212300,/home/ubuntu/upload/1000212300.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 69),False,False,False,0
1000212301,/home/ubuntu/upload/1000212301.jpg,clothes,clothes,True,high,"A collection of children's clothing including a sweatshirt, pants, a cap, socks, and shoes laid out together.",True,True,False,0
1000212302,/home/ubuntu/upload/1000212302.jpg,nail,nail,True,high,A cartoon illustration of a friendly nail character standing in a playroom with a hammer and the word NAIL written in large colorful letters.,True,False,True,330
1000212303,/home/ubuntu/upload/1000212303.jpg,playground,playground,True,high,"A colorful cartoon illustration of a playground with children playing on various equipment like a slide, swings, and a sandbox.",False,False,True,335
1000212304,/home/ubuntu/upload/1000212304.jpg,lion,lion,True,high,A friendly cartoon lion waving in a sunny savanna with giraffes and elephants in the background.,False,False,True,335
1000212305,/home/ubuntu/upload/1000212305.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 1 column 152 (char 151),False,False,False,0
1000212306,/home/ubuntu/upload/1000212306.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 1 column 63 (char 62),False,False,False,0
1000212307,/home/ubuntu/upload/1000212307.jpg,fire,fire,True,high,"A cute cartoon campfire with a smiling face in a forest setting at night, with the word 'FIRE!' written above it.",True,False,True,330
1000212308,/home/ubuntu/upload/1000212308.jpg,playground,playground,True,high,"A bright and colorful outdoor playground with a slide, swings, a sandbox, and a decorative animal fence under a sunny sky.",False,False,True,335
1000212309,/home/ubuntu/upload/1000212309.jpg,invited,invited,True,high,"A group of children in a park, with one girl holding an invitation card that says 'INVITED!'.",True,False,True,330
1000212310,/home/ubuntu/upload/1000212310.jpg,fixed,fixed,True,high,"A boy uses a screwdriver to repair a wagon wheel while a girl holds a teddy bear with patches, accompanied by the word FIXED! in large letters.",True,False,True,330
1000212311,/home/ubuntu/upload/1000212311.jpg,heard,heard,True,high,"A cartoon bear cupping its ear to listen to various sounds in nature and from people, with the word 'HEARD' prominently displayed.",True,False,True,330
1000212312,/home/ubuntu/upload/1000212312.jpg,left,left,True,high,A cartoon elephant points toward a large yellow arrow sign that says 'LEFT' in a park setting.,True,False,True,330
1000212313,/home/ubuntu/upload/1000212313.jpg,fresh,fresh,True,high,"Two children harvesting fresh vegetables and apples in a sunny garden, with the word 'FRESH' displayed prominently.",True,False,True,330
1000212314,/home/ubuntu/upload/1000212314.jpg,marks,marks,True,high,"A vibrant illustration of children in a classroom setting achieving different milestones, accompanied by the text 'MAKING OUR MARKS!'. The scenes show a student receiving an A+ grade, a girl painting a colorful picture, and a child having their height measured.",True,False,True,330
1000212315,/home/ubuntu/upload/1000212315.jpg,needed,needed,True,high,"A cartoon dog and rabbit are building a tower with colorful blocks in a playroom, with the word 'NEEDED' written above them.",True,False,True,330
1000212316,/home/ubuntu/upload/1000212316.jpg,entered,entered,True,high,A cartoon girl walking through the open door of a mushroom house with the word 'ENTERED' written above.,True,False,True,330
1000212317,/home/ubuntu/upload/1000212317.jpg,pottery,pottery,True,high,A collection of colorful handmade pottery vases for kids in various animal shapes.,True,False,True,330
1000212318,/home/ubuntu/upload/1000212318.jpg,helping hands,helping hands,True,high,"A group of children in a playground helping each other, with a banner above them that says HELPING HANDS!.",True,False,True,330
1000212319,/home/ubuntu/upload/1000212319.jpg,laugh,laugh,True,high,Four happy children laughing together in a sunny playground with 'HA HA HA HA!' text bubbles.,True,False,True,330
1000212320,/home/ubuntu/upload/1000212320.jpg,laugh,laugh,True,high,"A group of children laughing together in a park, with speech bubbles containing laughter sounds like 'HAHA' and 'LOL'.",True,False,True,330
1000212321,/home/ubuntu/upload/1000212321.jpg,hard,hard,True,high,A cartoon monster is pushing a large rock with the word 'HARD!' written on it.,True,False,True,330
1000212322,/home/ubuntu/upload/1000212322.jpg,What a beautiful day!,what a beautiful day,True,high,"A bright and cheerful cartoon landscape with a smiling sun, clouds, and tree, featuring a rabbit, squirrel, bird, and fish in a scenic setting with mountains, a river, and flowers.",False,False,True,335
1000212323,/home/ubuntu/upload/1000212323.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 1 column 272 (char 271),False,False,False,0
1000212324,/home/ubuntu/upload/1000212324.jpg,What a beautiful day!,what a beautiful day,True,high,"A cheerful girl and her dog stand on a flowery hill, looking out over a vibrant landscape featuring a river, a village, a distant castle, a rainbow, and a smiling sun.",False,False,True,335
1000212325,/home/ubuntu/upload/1000212325.jpg,play sports,play sports,True,high,"A group of children playing various sports like soccer, baseball, and frisbee in a park.",False,False,True,335
1000212326,/home/ubuntu/upload/1000212326.jpg,paid for,paid for,True,high,"A young girl hands a coin to a shopkeeper at a toy store counter, where the cash register displays a sign saying 'PAID!'.",True,False,True,330
1000212327,/home/ubuntu/upload/1000212327.jpg,feel,feel,True,high,"A colorful cartoon illustration showing children and creatures experiencing different textures like smooth, bumpy, soft, and sticky, with the text 'I CAN FEEL!'.",True,False,True,330
1000212328,/home/ubuntu/upload/1000212328.jpg,firefighter,firefighter,True,high,"A cheerful firefighter in uniform holds a water hose next to a red fire truck and a dalmatian dog, while children wave in the background.",True,False,True,330
1000212329,/home/ubuntu/upload/1000212329.jpg,north,north,True,high,"A cartoon illustration of a snowy landscape with a compass pointing towards the word 'NORTH', featuring a boy, a polar bear, and a reindeer.",True,False,True,330
1000212330,/home/ubuntu/upload/1000212330.jpg,,,False,low,"classification error (JSONDecodeError): Expecting ',' delimiter: line 1 column 164 (char 163)",False,False,False,0
1000212331,/home/ubuntu/upload/1000212331.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 1 column 151 (char 150),False,False,False,0
1000212332,/home/ubuntu/upload/1000212332.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 1 column 147 (char 146),False,False,False,0
1000212333,/home/ubuntu/upload/1000212333.jpg,near,near,True,high,"A cartoon boy and his dog sit together on a colorful picnic blanket in a grassy field, with the word 'NEAR' written above them.",True,False,True,330
1000212334,/home/ubuntu/upload/1000212334.jpg,jingling,jingling,True,high,"Three happy children are playing with bells and shakers in a classroom, with a banner above them that reads 'JINGLE JINGLE!'.",True,False,True,330
1000212335,/home/ubuntu/upload/1000212335.jpg,real,real,True,high,A cartoon illustration contrasting a real living puppy playing in a park with a stuffed toy puppy in a child's bedroom.,True,False,True,330
1000212336,/home/ubuntu/upload/1000212336.jpg,collage,collage,True,high,"A colorful collage titled 'OUR HAPPY FAMILY' featuring various scenes of family activities like picnics, beach trips, and reading together.",True,False,True,330
1000212337,/home/ubuntu/upload/1000212337.jpg,move,move,True,high,"A group of children are active in a park, running, jumping, and riding a scooter, with the word 'MOVE' written above them.",True,False,True,330
1000212338,/home/ubuntu/upload/1000212338.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 69),False,False,False,0
1000212339,/home/ubuntu/upload/1000212339.jpg,gave,gave,True,high,"A boy gives a wrapped gift to a girl in a playground setting, illustrating the past tense verb 'gave'.",True,False,True,330
1000212340,/home/ubuntu/upload/1000212340.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 1 column 61 (char 60),False,False,False,0
1000212341,/home/ubuntu/upload/1000212341.jpg,follow,follow,True,high,"A girl, a boy, a dog, and a duck are walking in a line on a path in a park, following each other, with the word FOLLOW prominently displayed.",True,False,True,330
1000212342,/home/ubuntu/upload/1000212342.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 86),False,False,False,0
1000212343,/home/ubuntu/upload/1000212343.jpg,impressed by,impressed by,True,high,A group of children are watching a magic show and are clearly impressed by the performance.,True,False,True,330
1000212344,/home/ubuntu/upload/1000212344.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 73),False,False,False,0
1000212345,/home/ubuntu/upload/1000212345.jpg,need,need,True,high,"A colorful infographic titled 'WHAT WE NEED' showing various human needs like healthy food, water, love, family, a safe home, clothing, exercise, play, sleep, and rest.",True,False,True,330
1000212346,/home/ubuntu/upload/1000212346.jpg,enjoyed,enjoyed,True,high,"Three happy children playing in a sunny park with a kite and a rainbow, with the word 'ENJOYED!' written above them.",True,False,True,330
1000212347,/home/ubuntu/upload/1000212347.jpg,keep a rabbit,keep a rabbit,True,high,A young girl feeds a carrot to her pet rabbit in its hutch in a sunny garden.,True,False,True,330
1000212348,/home/ubuntu/upload/1000212348.jpg,mountain,mountain,True,high,"A cheerful cartoon illustration of two children hiking on a trail towards a large, smiling mountain with the word 'Mountain' written on it.",True,False,True,330
1000212349,/home/ubuntu/upload/1000212349.jpg,fit,fit,True,high,"A group of children engaging in various physical activities like running, cycling, and jumping rope in a park under a banner that reads 'STAY FIT & ACTIVE!'.",True,False,True,330
1000212350,/home/ubuntu/upload/1000212350.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 68),False,False,False,0
1000212351,/home/ubuntu/upload/1000212351.jpg,school,school,True,high,"A young boy sitting on his bedroom floor, packing a notebook into his backpack to prepare for school.",True,False,True,330
1000212352,/home/ubuntu/upload/1000212352.jpg,in danger,in danger,True,high,"A cartoon fox and bear are crossing a broken rope bridge over a river, with the words ""IN DANGER!"" written above them.",True,False,True,330
1000212353,/home/ubuntu/upload/1000212353.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 77),False,False,False,0
1000212354,/home/ubuntu/upload/1000212354.jpg,move around,move around,True,high,"A group of children are active and playing in a park, with the text 'MOVE AROUND!' prominently displayed.",True,False,True,330
1000212355,/home/ubuntu/upload/1000212355.jpg,natural,natural,True,high,"A colorful cartoon illustration of a natural scene with animals, a river, and the sun, featuring the word 'NATURAL' in the center.",True,False,True,330
1000212356,/home/ubuntu/upload/1000212356.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 1 column 62 (char 61),False,False,False,0
1000212357,/home/ubuntu/upload/1000212357.jpg,hear,hear,True,high,"A cartoon illustration of a young girl sitting in a flower-filled meadow, cupping her ear to listen to a blue bird singing musical notes. The word 'HEAR' is written in large, colorful letters.",True,False,True,330
1000212358,/home/ubuntu/upload/1000212358.jpg,treasures,treasures,True,high,"A girl in her bedroom sits with her teddy bear, placing a marble into a jar labeled 'TREASURES' next to a box labeled 'KEPT SAFE'.",True,False,True,330
1000212359,/home/ubuntu/upload/1000212359.jpg,reduce,reduce,True,high,"An educational cartoon poster titled 'How to Reduce Waste' showing children recycling, reusing items, and using reusable bags.",True,False,True,330
1000212360,/home/ubuntu/upload/1000212360.jpg,for breakfast,for breakfast,True,high,"Two children are sitting at a dining table enjoying a variety of morning foods like cereal, pancakes, toast, and fruit under the large text 'FOR BREAKFAST'.",True,False,True,330
1000212361,/home/ubuntu/upload/1000212361.jpg,,,False,low,classification error (JSONDecodeError): Unterminated string starting at: line 4 column 14 (char 68),False,False,False,0
1000212362,/home/ubuntu/upload/1000212362.jpg,one by one,one by one,True,high,"A group of animals including an elephant, giraffe, and lion are standing in a line at a zoo entrance with signs that say 'ONE BY ONE'.",True,False,True,330
1000212363,/home/ubuntu/upload/1000212363.jpg,health,health,True,high,"A vibrant cartoon illustration depicting various healthy habits such as physical activity, eating nutritious food, getting rest, and maintaining hygiene, centered around the word HEALTH.",True,False,True,330
1000212364,/home/ubuntu/upload/1000212364.jpg,make a difference,make a difference,True,high,"A group of children working together in a community garden to plant flowers and clean up, with a banner above them that reads 'MAKE A DIFFERENCE!'.",True,False,True,330
1000212365,/home/ubuntu/upload/1000212365.jpg,monastery,monastery,True,high,"A cheerful cartoon illustration of a monastery where monks are engaged in various activities like gardening, painting, and studying.",True,False,True,330
1000212366,/home/ubuntu/upload/1000212366.jpg,harvest,harvest,True,high,"Children are gathering various fruits and vegetables on a farm, with signs saying 'HARVEST!' and 'HARVEST FARM'.",True,False,True,330
1000212367,/home/ubuntu/upload/1000212367.jpg,neighborhood,neighborhood,True,high,"A vibrant cartoon illustration of a friendly neighborhood featuring houses, a school, a grocery store, a playground, and children playing outdoors.",True,False,True,330
1000212368,/home/ubuntu/upload/1000212368.jpg,hospital,hospital,True,high,"A colorful cartoon illustration of a children's hospital with doctors, nurses, and children playing outside.",True,False,True,330
1000212369,/home/ubuntu/upload/1000212369.jpg,endangered,endangered,True,high,"A colorful cartoon illustration featuring a panda, tiger, turtle, and other animals in a lush landscape with a sign that says 'PROTECT OUR ENDANGERED FRIENDS!'.",True,False,True,330
1000212370,/home/ubuntu/upload/1000212370.jpg,gifts,gifts,True,high,Two children happily opening various colorful gifts and toys in front of a decorated Christmas tree.,True,False,True,330
1000212371,/home/ubuntu/upload/1000212371.jpg,at night,at night,True,high,"A young girl in striped pajamas sits on a grassy hill, looking up at a starry night sky with a crescent moon and a shooting star.",False,False,True,335
