image_path,relative_path,image_name,normalized_filename,width,height,format,sha1,duplicate_in_new_batch
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Doctor_bandaging_child_arm_202608212034.jpeg,New folder/Doctor_bandaging_child_arm_202608212034.jpeg,Doctor_bandaging_child_arm_202608212034.jpeg,doctor bandaging child arm,1376,768,JPEG,c07103afde9070c963f4c63e3919e32081d786ce,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Doctor_checking_child_heartbeat_202608212033.jpeg,New folder/Doctor_checking_child_heartbeat_202608212033.jpeg,Doctor_checking_child_heartbeat_202608212033.jpeg,doctor checking child heartbeat,1376,768,JPEG,bff2e0dd6d02955f0d7055a4f5be4e5c3d232341,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Doctor_explaining_X-ray_results_202608212034.jpeg,New folder/Doctor_explaining_X-ray_results_202608212034.jpeg,Doctor_explaining_X-ray_results_202608212034.jpeg,doctor explaining x ray results,1376,768,JPEG,56151e2366a8366aa79e6dfb783508c077ed7fe9,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Doctor_working_day_and_night_202608212033.jpeg,New folder/Doctor_working_day_and_night_202608212033.jpeg,Doctor_working_day_and_night_202608212033.jpeg,doctor working day and night,1376,768,JPEG,29373937981a7b04d7e01221f9ca19ce0f3b3bc6,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Dolphin_leaping_from_ocean_water_202608212032.jpeg,New folder/Dolphin_leaping_from_ocean_water_202608212032.jpeg,Dolphin_leaping_from_ocean_water_202608212032.jpeg,dolphin leaping from ocean water,1376,768,JPEG,f51179239e20c60982f904f04953b0b607fc1aa9,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Droopy_plant_affected_by_heat_202608212033.jpeg,New folder/Droopy_plant_affected_by_heat_202608212033.jpeg,Droopy_plant_affected_by_heat_202608212033.jpeg,droopy plant affected by heat,1376,768,JPEG,dd53ac47b6c5be717da7948569ee0620892cd0c6,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Ducklings_following_their_mother_202608212033.jpeg,New folder/Ducklings_following_their_mother_202608212033.jpeg,Ducklings_following_their_mother_202608212033.jpeg,ducklings following their mother,1376,768,JPEG,ce34adc79938757ede742f4673b441742d9ad9e7,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Farmer_driving_red_tractor_202608212034.jpeg,New folder/Farmer_driving_red_tractor_202608212034.jpeg,Farmer_driving_red_tractor_202608212034.jpeg,farmer driving red tractor,1376,768,JPEG,f2ad1b2e0ff9acf0200639ec89ba8d5a4806f157,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Farmer_keeping_farm_animals_202608212032.jpeg,New folder/Farmer_keeping_farm_animals_202608212032.jpeg,Farmer_keeping_farm_animals_202608212032.jpeg,farmer keeping farm animals,1376,768,JPEG,1f369486856cb071506b7bcb111ca409afc446a7,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Farmer_planting_seeds_202608212034.jpeg,New folder/Farmer_planting_seeds_202608212034.jpeg,Farmer_planting_seeds_202608212034.jpeg,farmer planting seeds,1376,768,JPEG,3b868b821949121d6062595952363575832e519f,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Runner_starting_race_202608212033.jpeg,New folder/Runner_starting_race_202608212033.jpeg,Runner_starting_race_202608212033.jpeg,runner starting race,1376,768,JPEG,cefe0b00475fdb60608798d6ffee577f696ba907,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Sad_child_losing_marbles_game_202608212033.jpeg,New folder/Sad_child_losing_marbles_game_202608212033.jpeg,Sad_child_losing_marbles_game_202608212033.jpeg,sad child losing marbles game,1376,768,JPEG,cd58048e7828ee82f98d90ce557b5787462fa395,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Safety_fence_around_swimming_pool_202608212034.jpeg,New folder/Safety_fence_around_swimming_pool_202608212034.jpeg,Safety_fence_around_swimming_pool_202608212034.jpeg,safety fence around swimming pool,1376,768,JPEG,1b271f616d41f6fd43e22a422e0abcb237b404cd,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Sand_blowing_across_desert_202608212034.jpeg,New folder/Sand_blowing_across_desert_202608212034.jpeg,Sand_blowing_across_desert_202608212034.jpeg,sand blowing across desert,1376,768,JPEG,62bb3e9772b9ec17694165e1ee42da579be67d82,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Sandstorm_in_desert_202608212034.jpeg,New folder/Sandstorm_in_desert_202608212034.jpeg,Sandstorm_in_desert_202608212034.jpeg,sandstorm in desert,1376,768,JPEG,ef7e8da0b1436f05f3c1d2af3183c02ff5a05af3,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Silver_star_illustration_smiling_202608212033.jpeg,New folder/Silver_star_illustration_smiling_202608212033.jpeg,Silver_star_illustration_smiling_202608212033.jpeg,silver star illustration smiling,1376,768,JPEG,7bbeba1537cce7067724247f2f700294339ec914,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Sleepy_child_yawning_at_night_202608212032.jpeg,New folder/Sleepy_child_yawning_at_night_202608212032.jpeg,Sleepy_child_yawning_at_night_202608212032.jpeg,sleepy child yawning at night,1376,768,JPEG,14bd6fc8353784ba9abeda745103f14d06a0d241,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Small_boat_on_deep_ocean_202608212034.jpeg,New folder/Small_boat_on_deep_ocean_202608212034.jpeg,Small_boat_on_deep_ocean_202608212034.jpeg,small boat on deep ocean,1376,768,JPEG,5f97bf1a7b862b6c4b1b34857f9b530159b87983,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Spatula_turning_cartoon_pancake_202608212032.jpeg,New folder/Spatula_turning_cartoon_pancake_202608212032.jpeg,Spatula_turning_cartoon_pancake_202608212032.jpeg,spatula turning cartoon pancake,1376,768,JPEG,708acef637ec236e506a4f9b1a5d7479d7939029,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Sprout_growing_from_soil_202608212034.jpeg,New folder/Sprout_growing_from_soil_202608212034.jpeg,Sprout_growing_from_soil_202608212034.jpeg,sprout growing from soil,1376,768,JPEG,91d03dc379b4966689309834db40a2960cd35df9,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder/Squirrel_burying_a_nut_202608212033.jpeg,New folder/Squirrel_burying_a_nut_202608212033.jpeg,Squirrel_burying_a_nut_202608212033.jpeg,squirrel burying a nut,1376,768,JPEG,96605190a2f54e1cf91691de858e8311fc6e897c,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_character_with_thermometer_202608212033.jpeg,New folder (2)/Cartoon_character_with_thermometer_202608212033.jpeg,Cartoon_character_with_thermometer_202608212033.jpeg,cartoon character with thermometer,1376,768,JPEG,1c4b9524bacdbb2ac2bf8617739c9ec02677fd16,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_child_beckoning_playground_202608212032.jpeg,New folder (2)/Cartoon_child_beckoning_playground_202608212032.jpeg,Cartoon_child_beckoning_playground_202608212032.jpeg,cartoon child beckoning playground,1376,768,JPEG,c5e0d807fcacf3959caa9e28da55639759e0a5b4,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_child_pointing_to_themse…_202608212033.jpeg,New folder (2)/Cartoon_child_pointing_to_themse…_202608212033.jpeg,Cartoon_child_pointing_to_themse…_202608212033.jpeg,cartoon child pointing to themse,1376,768,JPEG,254f9c772cc6d38b70461ef27739018f21aa18ac,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_child_reading_calmly_202608212032.jpeg,New folder (2)/Cartoon_child_reading_calmly_202608212032.jpeg,Cartoon_child_reading_calmly_202608212032.jpeg,cartoon child reading calmly,1376,768,JPEG,7d25a4e7f6bd85cfac3916714bae3a48b686c6fe,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_cloud_shaped_like_bird_202608212032.jpeg,New folder (2)/Cartoon_cloud_shaped_like_bird_202608212032.jpeg,Cartoon_cloud_shaped_like_bird_202608212032.jpeg,cartoon cloud shaped like bird,1376,768,JPEG,7dc57f936137d6229f57f6c7f563857e5711ce42,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_coal_and_empty_hourglass_202608212032.jpeg,New folder (2)/Cartoon_coal_and_empty_hourglass_202608212032.jpeg,Cartoon_coal_and_empty_hourglass_202608212032.jpeg,cartoon coal and empty hourglass,1376,768,JPEG,2906e3daee7618edbe2abc808c858de7740f609f,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_coffee_shop_with_outdoor…_202608212032.jpeg,New folder (2)/Cartoon_coffee_shop_with_outdoor…_202608212032.jpeg,Cartoon_coffee_shop_with_outdoor…_202608212032.jpeg,cartoon coffee shop with outdoor,1376,768,JPEG,9cfb67b05f1dbe7ea34b1242d0a147608f5ef5d2,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_cube_with_red_side_202608212032.jpeg,New folder (2)/Cartoon_cube_with_red_side_202608212032.jpeg,Cartoon_cube_with_red_side_202608212032.jpeg,cartoon cube with red side,1376,768,JPEG,5559bd67c2c9fe63ca20321aa4c3f7e45542de12,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_dog_bringing_ball_202608212032.jpeg,New folder (2)/Cartoon_dog_bringing_ball_202608212032.jpeg,Cartoon_dog_bringing_ball_202608212032.jpeg,cartoon dog bringing ball,1376,768,JPEG,6ede8bd8696be25d7f3825981ab30b57b3eb7f6c,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_fish_swimming_in_water_202608212034.jpeg,New folder (2)/Cartoon_fish_swimming_in_water_202608212034.jpeg,Cartoon_fish_swimming_in_water_202608212034.jpeg,cartoon fish swimming in water,1376,768,JPEG,409e35b30b58a8e0bf19b9725bdc388cf878be5d,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_germs_under_magnifying_g…_202608212033.jpeg,New folder (2)/Cartoon_germs_under_magnifying_g…_202608212033.jpeg,Cartoon_germs_under_magnifying_g…_202608212033.jpeg,cartoon germs under magnifying g,1376,768,JPEG,4aa6a5968add07da71f128fae18dd40928fcf844,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_girl_choosing_fruit_202608212032.jpeg,New folder (2)/Cartoon_girl_choosing_fruit_202608212032.jpeg,Cartoon_girl_choosing_fruit_202608212032.jpeg,cartoon girl choosing fruit,1376,768,JPEG,6c7ac1e55560116f035a445aafb104e3a1ec4af9,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_gold_coin_flipping_202608212032.jpeg,New folder (2)/Cartoon_gold_coin_flipping_202608212032.jpeg,Cartoon_gold_coin_flipping_202608212032.jpeg,cartoon gold coin flipping,1376,768,JPEG,58e9cae5afea82eb105ba454e897956232d458fd,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_hands_clapping_together_202608212032.jpeg,New folder (2)/Cartoon_hands_clapping_together_202608212032.jpeg,Cartoon_hands_clapping_together_202608212032.jpeg,cartoon hands clapping together,1376,768,JPEG,56ddcec7cff4dbaefa8bb07f5147af1cf8d0b748,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_house_with_robot_and_202608212034.jpeg,New folder (2)/Cartoon_house_with_robot_and_202608212034.jpeg,Cartoon_house_with_robot_and_202608212034.jpeg,cartoon house with robot and,1376,768,JPEG,0e7c524e1bf0c3afbf6b1c5171954129c011b67d,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_kitchen_stove_burning_flame_202608212034.jpeg,New folder (2)/Cartoon_kitchen_stove_burning_flame_202608212034.jpeg,Cartoon_kitchen_stove_burning_flame_202608212034.jpeg,cartoon kitchen stove burning flame,1376,768,JPEG,3c73cf9bec05893d94f3f59948bf6f8b69d83252,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Cartoon_kitten_sitting_on_table_202608212032.jpeg,New folder (2)/Cartoon_kitten_sitting_on_table_202608212032.jpeg,Cartoon_kitten_sitting_on_table_202608212032.jpeg,cartoon kitten sitting on table,1376,768,JPEG,0d3fdf6feb3329334ac62bd5dd85a8509cd959d7,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Flexible_straw_bending_curve_202608212033.jpeg,New folder (2)/Flexible_straw_bending_curve_202608212033.jpeg,Flexible_straw_bending_curve_202608212033.jpeg,flexible straw bending curve,1376,768,JPEG,1e21590528838919dc1775340468472e22aabfc6,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Flood_covering_street_and_houses_202608212034.jpeg,New folder (2)/Flood_covering_street_and_houses_202608212034.jpeg,Flood_covering_street_and_houses_202608212034.jpeg,flood covering street and houses,1376,768,JPEG,ebf78cb04753194fd53ad423d9c1ca599d40f6d0,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Flower_blooming_in_dry_desert_202608212034.jpeg,New folder (2)/Flower_blooming_in_dry_desert_202608212034.jpeg,Flower_blooming_in_dry_desert_202608212034.jpeg,flower blooming in dry desert,1376,768,JPEG,7243b8c548e4b7ab1c163e1686c5bb21821110fe,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Four_seasons_changing_around_tree_202608212033.jpeg,New folder (2)/Four_seasons_changing_around_tree_202608212033.jpeg,Four_seasons_changing_around_tree_202608212033.jpeg,four seasons changing around tree,1376,768,JPEG,024b6a52a38682051d758db9750268351f2b749a,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Friends_sitting_and_talking_202608212033.jpeg,New folder (2)/Friends_sitting_and_talking_202608212033.jpeg,Friends_sitting_and_talking_202608212033.jpeg,friends sitting and talking,1376,768,JPEG,79a5737bad1756e0416be72e63e5593f7cc63b0e,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Frog_leaping_between_lily_pads_202608212034.jpeg,New folder (2)/Frog_leaping_between_lily_pads_202608212034.jpeg,Frog_leaping_between_lily_pads_202608212034.jpeg,frog leaping between lily pads,1376,768,JPEG,a91ec728a0a7f36eb5ac7544907375f0d745f8fb,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Girl_examining_map_with_magnifier_202608212033.jpeg,New folder (2)/Girl_examining_map_with_magnifier_202608212033.jpeg,Girl_examining_map_with_magnifier_202608212033.jpeg,girl examining map with magnifier,1376,768,JPEG,62b0632e4079e815f7c575c75a5dc9582d9b20c5,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Glass_being_filled_with_water_202608212033.jpeg,New folder (2)/Glass_being_filled_with_water_202608212033.jpeg,Glass_being_filled_with_water_202608212033.jpeg,glass being filled with water,1376,768,JPEG,14b6565f323c58628c5f38ca5d48b8810c778a8d,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Glass_jar_containing_colorful_ma…_202608212032.jpeg,New folder (2)/Glass_jar_containing_colorful_ma…_202608212032.jpeg,Glass_jar_containing_colorful_ma…_202608212032.jpeg,glass jar containing colorful ma,1376,768,JPEG,e6c6c567e7c0a2579b31b1e09ca1480e4c953475,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Glowing_cartoon_diamond_on_cushion_202608212032.jpeg,New folder (2)/Glowing_cartoon_diamond_on_cushion_202608212032.jpeg,Glowing_cartoon_diamond_on_cushion_202608212032.jpeg,glowing cartoon diamond on cushion,1376,768,JPEG,ea412fd4f45d790968067257746379afef1b41c4,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (2)/Gold_rings_and_necklaces_in_202608212034.jpeg,New folder (2)/Gold_rings_and_necklaces_in_202608212034.jpeg,Gold_rings_and_necklaces_in_202608212034.jpeg,gold rings and necklaces in,1376,768,JPEG,e9677247c49d08a88d904ec83638d1d065674a6f,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_miners_holding_picks_in_202608212032.jpeg,New folder (3)/Cartoon_miners_holding_picks_in_202608212032.jpeg,Cartoon_miners_holding_picks_in_202608212032.jpeg,cartoon miners holding picks in,1376,768,JPEG,bc115acbc863ca3a71f665f4b5a99932d10bd669,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_monster_making_silly_face_202608212033.jpeg,New folder (3)/Cartoon_monster_making_silly_face_202608212033.jpeg,Cartoon_monster_making_silly_face_202608212033.jpeg,cartoon monster making silly face,1376,768,JPEG,671a54acdd38ce8564c90d4107a8d4de974e9aad,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_moon_shining_over_house_202608212032.jpeg,New folder (3)/Cartoon_moon_shining_over_house_202608212032.jpeg,Cartoon_moon_shining_over_house_202608212032.jpeg,cartoon moon shining over house,1376,768,JPEG,7f580bf7eb9a4c4e16a82c1c14ace7a9b5284998,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_park_with_green_trees_202608212032.jpeg,New folder (3)/Cartoon_park_with_green_trees_202608212032.jpeg,Cartoon_park_with_green_trees_202608212032.jpeg,cartoon park with green trees,1376,768,JPEG,3c83a1a01b91a555b67767d59bf8b11b23e8d147,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_puppy_wearing_red_collar_202608212032.jpeg,New folder (3)/Cartoon_puppy_wearing_red_collar_202608212032.jpeg,Cartoon_puppy_wearing_red_collar_202608212032.jpeg,cartoon puppy wearing red collar,1376,768,JPEG,e318a8cf5a05c1dd00b940b764aefe2fb21b9f46,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_sun_shining_over_hill_202608212032.jpeg,New folder (3)/Cartoon_sun_shining_over_hill_202608212032.jpeg,Cartoon_sun_shining_over_hill_202608212032.jpeg,cartoon sun shining over hill,1376,768,JPEG,17fa4b3ce7df673dac459370b75c4fc9e5295e28,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_supermarket_with_fruits_…_202608212032.jpeg,New folder (3)/Cartoon_supermarket_with_fruits_…_202608212032.jpeg,Cartoon_supermarket_with_fruits_…_202608212032.jpeg,cartoon supermarket with fruits,1376,768,JPEG,9186d9bd0ec6b3014edcc80f4e36f96e40e6d2e2,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_toy_car_with_solar_202608212032.jpeg,New folder (3)/Cartoon_toy_car_with_solar_202608212032.jpeg,Cartoon_toy_car_with_solar_202608212032.jpeg,cartoon toy car with solar,1376,768,JPEG,3d66f58ac0ba9a17e1de3e85ca0774b05c445bf9,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_treasure_chest_on_ocean_202608212032.jpeg,New folder (3)/Cartoon_treasure_chest_on_ocean_202608212032.jpeg,Cartoon_treasure_chest_on_ocean_202608212032.jpeg,cartoon treasure chest on ocean,1376,768,JPEG,3bac411ea6ef1c10776bb0509e4fe91c0dd74528,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_waiter_carrying_juice_tray_202608212034.jpeg,New folder (3)/Cartoon_waiter_carrying_juice_tray_202608212034.jpeg,Cartoon_waiter_carrying_juice_tray_202608212034.jpeg,cartoon waiter carrying juice tray,1376,768,JPEG,32ad94bc77d9893644ee742f1593f9b39e8ee705,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_water_watering_plants_202608212034.jpeg,New folder (3)/Cartoon_water_watering_plants_202608212034.jpeg,Cartoon_water_watering_plants_202608212034.jpeg,cartoon water watering plants,1376,768,JPEG,47780b5ef9188fbfd81e318323bbfd356913547c,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_weather_icons_showing_co…_202608212034.jpeg,New folder (3)/Cartoon_weather_icons_showing_co…_202608212034.jpeg,Cartoon_weather_icons_showing_co…_202608212034.jpeg,cartoon weather icons showing co,1376,768,JPEG,18428c7c9aee5df0b06dcde6a7c6e829571097b3,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Cartoon_wind_blowing_sand_202608212034.jpeg,New folder (3)/Cartoon_wind_blowing_sand_202608212034.jpeg,Cartoon_wind_blowing_sand_202608212034.jpeg,cartoon wind blowing sand,1376,768,JPEG,966c3bb7a2b2ac07c0fc0a5cc28296cb8800df3b,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Caterpillar_transforming_into_bu…_202608212033.jpeg,New folder (3)/Caterpillar_transforming_into_bu…_202608212033.jpeg,Caterpillar_transforming_into_bu…_202608212033.jpeg,caterpillar transforming into bu,1376,768,JPEG,badaa9ac3dc3027cb156404e118a0795d9e668b1,False
/home/ubuntu/webdev-static-assets/grade5-new-20260821/New folder (3)/Characters_building_wall_near_river_202608212034.jpeg,New folder (3)/Characters_building_wall_near_river_202608212034.jpeg,Characters_building_wall_near_river_202608212034.jpeg,characters building wall near river,1376,768,JPEG,178bcb8ffe1377638dc4f12d1082a573caeb27a2,False
