image_id,batch,unit_lesson,term_en,translation_ar,suggested_filename,visual_idea_en,generation_prompt_en,status
21,1,U5 L3,board,لوح (خشبي),cartoon-021-board.png,"a single clear, child-friendly visual that shows the literal meaning of “board” (لوح (خشبي))","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “board”. Arabic teaching meaning for interpretation only: “لوح (خشبي)”. Show: a single clear, child-friendly visual that shows the literal meaning of “board” (لوح (خشبي)).",To generate
22,1,U2 L1,bottles,زجاجات,cartoon-022-bottles.png,"a single clear, child-friendly visual that shows the literal meaning of “bottles” (زجاجات)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “bottles”. Arabic teaching meaning for interpretation only: “زجاجات”. Show: a single clear, child-friendly visual that shows the literal meaning of “bottles” (زجاجات).",To generate
23,1,U5 L2,brave,شجاع,cartoon-023-brave.png,a brave child calmly helping a frightened friend during a safe situation,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “brave”. Arabic teaching meaning for interpretation only: “شجاع”. Show: a brave child calmly helping a frightened friend during a safe situation.",To generate
24,1,U1 L2,break time,وقت الفسحة,cartoon-024-break-time.png,children enjoying a school break in the playground,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “break time”. Arabic teaching meaning for interpretation only: “وقت الفسحة”. Show: children enjoying a school break in the playground.",To generate
25,1,U1 L4&5,breakfast,وجبة الإفطار,cartoon-025-breakfast.png,"a single clear, child-friendly visual that shows the literal meaning of “breakfast” (وجبة الإفطار)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “breakfast”. Arabic teaching meaning for interpretation only: “وجبة الإفطار”. Show: a single clear, child-friendly visual that shows the literal meaning of “breakfast” (وجبة الإفطار).",To generate
26,1,U1 L2,brown bread,خبز القمح (البلدي),cartoon-026-brown-bread.png,"a single clear, child-friendly visual that shows the literal meaning of “brown bread” (خبز القمح (البلدي))","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “brown bread”. Arabic teaching meaning for interpretation only: “خبز القمح (البلدي)”. Show: a single clear, child-friendly visual that shows the literal meaning of “brown bread” (خبز القمح (البلدي)).",To generate
27,1,U1 L2,brush teeth,يغسل الأسنان,cartoon-027-brush-teeth.png,"a single clear, child-friendly visual that shows the literal meaning of “brush teeth” (يغسل الأسنان)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “brush teeth”. Arabic teaching meaning for interpretation only: “يغسل الأسنان”. Show: a single clear, child-friendly visual that shows the literal meaning of “brush teeth” (يغسل الأسنان).",To generate
28,1,U2 L4&5,build,يبني,cartoon-028-build.png,"a single clear, child-friendly visual that shows the literal meaning of “build” (يبني)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “build”. Arabic teaching meaning for interpretation only: “يبني”. Show: a single clear, child-friendly visual that shows the literal meaning of “build” (يبني).",To generate
29,1,U2 L4&5,building,مبنى,cartoon-029-building.png,"a single clear, child-friendly visual that shows the literal meaning of “building” (مبنى)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “building”. Arabic teaching meaning for interpretation only: “مبنى”. Show: a single clear, child-friendly visual that shows the literal meaning of “building” (مبنى).",To generate
30,1,U2 L4&5,built,يبني,cartoon-030-built.png,"a single clear, child-friendly visual that shows the literal meaning of “built” (يبني)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “built”. Arabic teaching meaning for interpretation only: “يبني”. Show: a single clear, child-friendly visual that shows the literal meaning of “built” (يبني).",To generate
31,1,U6 LStory,bullying,تنمر,cartoon-031-bullying.png,"a kind teacher stopping one child from teasing another child, shown safely and gently","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “bullying”. Arabic teaching meaning for interpretation only: “تنمر”. Show: a kind teacher stopping one child from teasing another child, shown safely and gently.",To generate
32,1,U4 L1,busy market,سوق مزدحم,cartoon-032-busy-market.png,a colourful Egyptian market with many shoppers and stalls,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “busy market”. Arabic teaching meaning for interpretation only: “سوق مزدحم”. Show: a colourful Egyptian market with many shoppers and stalls.",To generate
33,1,U1 L1,butterflies,فراشات,cartoon-033-butterflies.png,"a single clear, child-friendly visual that shows the literal meaning of “butterflies” (فراشات)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “butterflies”. Arabic teaching meaning for interpretation only: “فراشات”. Show: a single clear, child-friendly visual that shows the literal meaning of “butterflies” (فراشات).",To generate
34,1,U2 L3,by hand,يدويًا,cartoon-034-by-hand.png,a child carefully making a craft with their hands,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “by hand”. Arabic teaching meaning for interpretation only: “يدويًا”. Show: a child carefully making a craft with their hands.",To generate
35,1,U3 L2,cage,قفص,cartoon-035-cage.png,"a single clear, child-friendly visual that shows the literal meaning of “cage” (قفص)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “cage”. Arabic teaching meaning for interpretation only: “قفص”. Show: a single clear, child-friendly visual that shows the literal meaning of “cage” (قفص).",To generate
36,1,U4 L1,Cairo Tower,برج القاهرة,cartoon-036-cairo-tower.png,"a single clear, child-friendly visual that shows the literal meaning of “Cairo Tower” (برج القاهرة)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “Cairo Tower”. Arabic teaching meaning for interpretation only: “برج القاهرة”. Show: a single clear, child-friendly visual that shows the literal meaning of “Cairo Tower” (برج القاهرة).",To generate
37,1,U3 L3,call out,يصيح/ينادي بصوت عالٍ,cartoon-037-call-out.png,a child calling loudly to a friend across a safe playground,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “call out”. Arabic teaching meaning for interpretation only: “يصيح/ينادي بصوت عالٍ”. Show: a child calling loudly to a friend across a safe playground.",To generate
38,1,U5 L1,cap,قبعة,cartoon-038-cap.png,"a single clear, child-friendly visual that shows the literal meaning of “cap” (قبعة)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “cap”. Arabic teaching meaning for interpretation only: “قبعة”. Show: a single clear, child-friendly visual that shows the literal meaning of “cap” (قبعة).",To generate
39,1,U3 L2,care,رعاية,cartoon-039-care.png,a child gently caring for a small plant,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “care”. Arabic teaching meaning for interpretation only: “رعاية”. Show: a child gently caring for a small plant.",To generate
40,1,U3 L2,care for = take care of,يعتني بـ,cartoon-040-care-for-take-care-of.png,a child feeding and caring for a pet rabbit,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “care for = take care of”. Arabic teaching meaning for interpretation only: “يعتني بـ”. Show: a child feeding and caring for a pet rabbit.",To generate
41,1,U5 L3,carelessly,بإهمال,cartoon-041-carelessly.png,a child leaving toys scattered carelessly on the floor while an adult reminds them gently,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “carelessly”. Arabic teaching meaning for interpretation only: “بإهمال”. Show: a child leaving toys scattered carelessly on the floor while an adult reminds them gently.",To generate
42,1,U5 L3,carpenter,نجار,cartoon-042-carpenter.png,"a single clear, child-friendly visual that shows the literal meaning of “carpenter” (نجار)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “carpenter”. Arabic teaching meaning for interpretation only: “نجار”. Show: a single clear, child-friendly visual that shows the literal meaning of “carpenter” (نجار).",To generate
43,1,U2 L3,carpets,سجاد,cartoon-043-carpets.png,"a single clear, child-friendly visual that shows the literal meaning of “carpets” (سجاد)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “carpets”. Arabic teaching meaning for interpretation only: “سجاد”. Show: a single clear, child-friendly visual that shows the literal meaning of “carpets” (سجاد).",To generate
44,1,U5 L2,cartoons,رسوم متحركة,cartoon-044-cartoons.png,"a single clear, child-friendly visual that shows the literal meaning of “cartoons” (رسوم متحركة)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “cartoons”. Arabic teaching meaning for interpretation only: “رسوم متحركة”. Show: a single clear, child-friendly visual that shows the literal meaning of “cartoons” (رسوم متحركة).",To generate
45,1,U3 L1,catch,يصطاد,cartoon-045-catch.png,"a single clear, child-friendly visual that shows the literal meaning of “catch” (يصطاد)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “catch”. Arabic teaching meaning for interpretation only: “يصطاد”. Show: a single clear, child-friendly visual that shows the literal meaning of “catch” (يصطاد).",To generate
46,1,U3 L1,caught,يصطاد,cartoon-046-caught.png,"a single clear, child-friendly visual that shows the literal meaning of “caught” (يصطاد)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “caught”. Arabic teaching meaning for interpretation only: “يصطاد”. Show: a single clear, child-friendly visual that shows the literal meaning of “caught” (يصطاد).",To generate
47,1,U3 L3,cave,كهف,cartoon-047-cave.png,"a single clear, child-friendly visual that shows the literal meaning of “cave” (كهف)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “cave”. Arabic teaching meaning for interpretation only: “كهف”. Show: a single clear, child-friendly visual that shows the literal meaning of “cave” (كهف).",To generate
48,1,U2 L3,celebrate,يحتفل,cartoon-048-celebrate.png,children happily celebrating together with simple paper decorations,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “celebrate”. Arabic teaching meaning for interpretation only: “يحتفل”. Show: children happily celebrating together with simple paper decorations.",To generate
49,1,U2 L3,celebrated,يحتفل,cartoon-049-celebrated.png,children happily celebrating together with simple paper decorations,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “celebrated”. Arabic teaching meaning for interpretation only: “يحتفل”. Show: children happily celebrating together with simple paper decorations.",To generate
50,1,U2 L3,celebration,احتفال,cartoon-050-celebration.png,a happy school celebration with balloons and a small cake but no words,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “celebration”. Arabic teaching meaning for interpretation only: “احتفال”. Show: a happy school celebration with balloons and a small cake but no words.",To generate
51,1,U3 L2,challenges,تحديات/صعوبات,cartoon-051-challenges.png,a child climbing a small safe practice wall with a teacher encouraging them,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “challenges”. Arabic teaching meaning for interpretation only: “تحديات/صعوبات”. Show: a child climbing a small safe practice wall with a teacher encouraging them.",To generate
52,1,U5 L2,character,شخصية,cartoon-052-character.png,"a cheerful storybook character with a clear, simple costume","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “character”. Arabic teaching meaning for interpretation only: “شخصية”. Show: a cheerful storybook character with a clear, simple costume.",To generate
53,1,U3 L2,check,يفحص,cartoon-053-check.png,a child carefully checking a school bag before leaving,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “check”. Arabic teaching meaning for interpretation only: “يفحص”. Show: a child carefully checking a school bag before leaving.",To generate
54,1,U3 L2,checked,يفحص,cartoon-054-checked.png,a child carefully checking a school bag before leaving,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “checked”. Arabic teaching meaning for interpretation only: “يفحص”. Show: a child carefully checking a school bag before leaving.",To generate
55,1,U4 L2,city,مدينة (كبيرة),cartoon-055-city.png,"a single clear, child-friendly visual that shows the literal meaning of “city” (مدينة (كبيرة))","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “city”. Arabic teaching meaning for interpretation only: “مدينة (كبيرة)”. Show: a single clear, child-friendly visual that shows the literal meaning of “city” (مدينة (كبيرة)).",To generate
56,1,U3 L1,claws,مخالب (الحيوانات),cartoon-056-claws.png,"a single clear, child-friendly visual that shows the literal meaning of “claws” (مخالب (الحيوانات))","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “claws”. Arabic teaching meaning for interpretation only: “مخالب (الحيوانات)”. Show: a single clear, child-friendly visual that shows the literal meaning of “claws” (مخالب (الحيوانات)).",To generate
57,1,U2 L1,clean,ينظف / نظيف,cartoon-057-clean.png,a child cleaning a classroom table with a cloth,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “clean”. Arabic teaching meaning for interpretation only: “ينظف / نظيف”. Show: a child cleaning a classroom table with a cloth.",To generate
58,1,U3 L1,climb,يتسلق,cartoon-058-climb.png,"a single clear, child-friendly visual that shows the literal meaning of “climb” (يتسلق)","Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “climb”. Arabic teaching meaning for interpretation only: “يتسلق”. Show: a single clear, child-friendly visual that shows the literal meaning of “climb” (يتسلق).",To generate
59,1,U3 L1,climbed,يتسلق,cartoon-059-climbed.png,a child safely climbing a playground ladder,"Clean 2D educational cartoon illustration for a Primary 4 English vocabulary flashcard; portrait 3:4 composition; warm pale-cream background; one focused child-friendly subject or scene; rounded friendly shapes; clean dark navy outlines; soft gentle shadows; bright but balanced colors; no text, English or Arabic letters, numbers, labels, logos, watermark, border, collage, split panel, or extra objects. Target word or phrase: “climbed”. Arabic teaching meaning for interpretation only: “يتسلق”. Show: a child safely climbing a playground ladder.",To generate
